step,env_0,env_1,env_2,env_4,Mean reward
0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,2.0,1.0,2.0,1.0,1.5
11,2.0,2.0,2.0,2.0,2.0
12,2.0,2.0,2.0,2.0,2.0
13,2.0,2.0,2.0,2.0,2.0
14,2.0,2.0,2.0,2.0,2.0
15,2.0,2.0,2.0,2.0,2.0
16,2.0,2.0,2.0,2.0,2.0
17,2.0,2.0,2.0,2.0,2.0
18,2.0,2.0,2.0,2.0,2.0
19,2.0,2.0,2.0,2.0,2.0
20,2.0,2.0,2.0,2.0,2.0
21,2.0,2.0,2.0,2.0,2.0
22,2.0,2.0,2.0,2.0,2.0
23,2.0,2.0,2.0,2.0,2.0
24,2.0,2.0,2.0,2.0,2.0
25,2.0,2.0,2.0,2.0,2.0
26,2.0,2.0,2.0,2.0,2.0
27,2.0,2.0,2.0,2.0,2.0
28,2.0,2.0,2.0,2.0,2.0
29,2.0,2.0,2.0,2.0,2.0
30,2.0,2.0,2.0,2.0,2.0
31,2.0,2.0,2.0,2.0,2.0
32,2.0,2.0,2.0,2.0,2.0
33,2.0,2.0,2.0,2.0,2.0
34,2.0,2.0,2.0,2.0,2.0
35,2.0,2.0,2.0,2.0,2.0
36,2.0,2.0,2.0,2.0,2.0
37,2.0,2.0,2.0,2.0,2.0
38,2.0,2.0,2.0,2.0,2.0
39,2.0,2.0,2.0,2.0,2.0
40,2.0,2.0,2.0,2.0,2.0
41,3.0,2.0,3.0,2.0,2.5
42,3.0,2.0,3.0,2.0,2.5
43,3.0,2.0,3.0,3.0,2.75
44,3.0,2.0,3.0,3.0,2.75
45,3.0,2.0,3.0,3.0,2.75
46,3.0,2.0,3.0,3.0,2.75
47,3.0,2.0,3.0,3.0,2.75
48,3.0,2.0,3.0,3.0,2.75
49,3.0,2.0,3.0,3.0,2.75
50,4.0,2.0,4.0,3.0,3.25
51,4.0,3.0,4.0,3.0,3.5
52,4.0,4.0,4.0,4.0,4.0
53,4.0,4.0,4.0,4.0,4.0
54,4.0,4.0,4.0,4.0,4.0
55,4.0,4.0,4.0,4.0,4.0
56,4.0,4.0,4.0,4.0,4.0
57,4.0,4.0,4.0,4.0,4.0
58,4.0,4.0,4.0,4.0,4.0
59,4.0,4.0,4.0,4.0,4.0
60,4.0,4.0,4.0,4.0,4.0
61,5.0,4.0,5.0,5.0,4.75
62,5.0,4.0,5.0,5.0,4.75
63,5.0,4.0,5.0,6.0,5.0
64,5.0,4.0,5.0,6.0,5.0
65,5.0,4.0,5.0,6.0,5.0
66,5.0,4.0,5.0,6.0,5.0
67,5.0,4.0,5.0,6.0,5.0
68,5.0,4.0,5.0,6.0,5.0
69,5.0,4.0,5.0,6.0,5.0
70,5.0,4.0,5.0,6.0,5.0
71,5.0,4.0,5.0,6.0,5.0
72,5.0,5.0,5.0,6.0,5.25
73,5.0,5.0,5.0,6.0,5.25
74,5.0,5.0,5.0,6.0,5.25
75,5.0,5.0,5.0,6.0,5.25
76,5.0,5.0,5.0,6.0,5.25
77,5.0,5.0,5.0,6.0,5.25
78,5.0,5.0,5.0,6.0,5.25
79,5.0,5.0,5.0,6.0,5.25
80,5.0,5.0,5.0,6.0,5.25
81,5.0,5.0,5.0,6.0,5.25
82,5.0,5.0,5.0,6.0,5.25
83,5.0,5.0,5.0,6.0,5.25
84,5.0,5.0,5.0,6.0,5.25
85,5.0,5.0,5.0,6.0,5.25
86,5.0,5.0,5.0,6.0,5.25
87,5.0,5.0,5.0,6.0,5.25
88,5.0,5.0,5.0,6.0,5.25
89,5.0,5.0,5.0,6.0,5.25
90,5.0,5.0,5.0,6.0,5.25
91,5.0,5.0,6.0,7.0,5.75
92,5.0,5.0,6.0,7.0,5.75
93,6.0,5.0,6.0,7.0,6.0
94,6.0,5.0,6.0,7.0,6.0
95,6.0,5.0,6.0,7.0,6.0
96,6.0,5.0,6.0,7.0,6.0
97,6.0,5.0,6.0,7.0,6.0
98,6.0,5.0,6.0,8.0,6.25
99,6.0,5.0,6.0,8.0,6.25
100,6.0,5.0,7.0,8.0,6.5
101,7.0,5.0,7.0,8.0,6.75
102,7.0,6.0,7.0,9.0,7.25
103,7.0,6.0,7.0,9.0,7.25
104,7.0,7.0,7.0,9.0,7.5
105,7.0,7.0,7.0,9.0,7.5
106,7.0,7.0,7.0,9.0,7.5
107,7.0,7.0,7.0,9.0,7.5
108,7.0,7.0,7.0,9.0,7.5
109,7.0,7.0,7.0,9.0,7.5
110,7.0,7.0,7.0,9.0,7.5
111,7.0,7.0,8.0,9.0,7.75
112,7.0,7.0,8.0,9.0,7.75
113,8.0,7.0,8.0,9.0,8.0
114,8.0,7.0,8.0,9.0,8.0
115,8.0,7.0,9.0,9.0,8.25
116,8.0,7.0,9.0,9.0,8.25
117,8.0,7.0,9.0,9.0,8.25
118,8.0,7.0,9.0,10.2,8.55
119,8.0,7.0,9.0,10.2,8.55
120,8.0,7.0,9.0,10.2,8.55
121,8.0,7.0,9.0,10.2,8.55
122,8.0,7.0,9.0,10.2,8.55
123,8.0,7.0,9.0,10.2,8.55
124,8.0,7.0,9.0,10.2,8.55
125,8.0,8.0,9.0,10.2,8.8
126,8.0,8.0,9.0,10.2,8.8
127,8.0,8.0,9.0,10.2,8.8
128,8.0,8.0,9.0,10.2,8.8
129,8.0,8.0,9.0,10.2,8.8
130,8.0,8.0,9.0,10.2,8.8
131,8.0,8.0,9.0,10.2,8.8
132,8.0,8.0,9.0,10.2,8.8
